,代碼,學校名稱,地址,lat,lnt,類別
3,3,臺北市信義區福德國民小學,臺北市信義區福德街253號,25.03890077,121.5865297,國小
5,5,臺北市大安區金華國民小學,臺北市大安區愛國東路79巷11號,25.032251199999997,121.52776180000001,國小
7,7,臺北市中山區長安國民小學,臺北市中山區吉林路15號,25.04975928,121.53018329999999,國小
9,9,臺北市萬華區福星國民小學,臺北市萬華區中華路一段66號,25.04634479,121.5089065,國小
11,11,臺北市文山區博嘉國民小學,臺北市文山區木柵路四段159巷14之1號,25.00208153,121.57581040000001,國小
13,13,臺北市內湖區麗湖國民小學,臺北市內湖區金湖路363巷8號,25.07307454,121.6012783,國小
15,15,臺北市士林區百齡國民小學,臺北市士林區福港街二０五號,25.08620601,121.517825,國小
17,17,臺北市士林區芝山國民小學,臺北市士林區德行東路285號,25.11038595,121.5364298,國小
19,19,臺北市北投區清江國民小學,臺北市北投區公館路220號,25.12690193,121.5075892,國小
21,21,臺北市北投區湖山國民小學,臺北市北投區湖底路11號,25.14998481,121.53549440000002,國小
23,23,臺北市北投區義方國民小學,臺北市北投區開明街71號,25.14147209,121.50233670000001,國小
25,25,臺北市北投區私立薇閣國民小學,臺北市北投區育仁路106號,25.13601565,121.50102659999999,國小
46,46,私立立人國際國民中小學,臺北市大安區安和路二段99號,25.02980258,121.55189240000001,國小
47,47,臺北市中山區吉林國民小學,臺北市中山區長春路116號,25.0547175,121.52963100000001,國小
49,49,臺北市文山區實踐國民小學,臺北市文山區忠順街一段4號,24.98366587,121.5575636,國小
56,56,臺北市萬華區萬大國民小學,臺北市萬華區萬大路346號,25.022979199999998,121.4993453,國小
58,58,臺北市士林區陽明山國民小學,臺北市士林區仰德大道三段61號,25.11934464,121.5527902,國小
60,60,臺北市士林區三玉國民小學,臺北市士林區天母東路116號,25.11799529,121.53732269999999,國小
64,64,臺北市中山區長春國民小學,臺北市中山區長春路165號,25.05494786,121.53388290000001,國小
67,67,臺北市北投區文化國民小學,臺北市北投區文化三路一號,25.13709,121.49667779999999,國小
73,73,臺北市中山區中正國民小學,臺北市中山區龍江路62號,25.05062225,121.54026370000001,國小
86,86,臺北市大安區古亭國民小學,臺北市大安區羅斯福路三段201號,25.02067115,121.5284856,國小
102,102,臺北市大安區龍安國民小學,臺北市大安區新生南路三段三十三號,25.02395204,121.534846,國小
104,104,臺北市中山區大佳國民小學,臺北市中山區濱江街107號,25.07330346,121.53595390000001,國小
