,代碼,學校名稱,地址,lat,lnt,類別
45,45,中山國中,臺北市松山區復興北路361巷7號,25.06053967,121.54553270000001,國中
54,54,格致國中,臺北市士林區仰德大道4段75號,25.13110971,121.54680790000002,國中
78,78,仁愛國中,臺北市大安區仁愛路4段130號,25.03750102,121.55068229999999,國中
80,80,濱江國中,臺北市中山區樂群二路262號,25.07959751,121.5607163,國中
95,95,龍門國中,臺北市大安區建國南路2段269號,25.02489997,121.5380304,國中
97,97,龍山國中,臺北市萬華區南寧路46號,25.03606389,121.50459779999998,國中
99,99,蘭州國中,臺北市大同區大龍街187巷1號,25.06932175,121.5167646,國中
162,162,士林國中,臺北市士林區中正路345號,25.09435056,121.5225717,國中
185,185,長安國中,臺北市中山區松江路70巷11號,25.04941324,121.53192460000001,國中
186,186,桃源國中,臺北市北投區中央北路4段48號,25.13470407,121.47734640000002,國中
189,189,介壽國中,臺北市松山區延壽街401號,25.05640588,121.55652920000001,國中
190,190,敦化國中,臺北市松山區南京東路3段300號,25.05152383,121.54679270000001,國中
191,191,大安國中,臺北市大安區大安路2段63號,25.03076435,121.5461936,國中
192,192,明德國中,臺北市北投區明德路50號,25.10755963,121.5183169,國中
196,196,至善國中,臺北市士林區至善路2段360號,25.10356661,121.55547659999998,國中
211,211,新民國中,臺北市北投區新民路10號,25.13887853,121.50655149999999,國中
217,217,北政國中,臺北市文山區指南路3段2巷14號,24.98488931,121.5782706,國中
218,218,福安國中,臺北市士林區延平北路7段250號,25.10335249,121.4873963,國中
219,219,三民國中,臺北市內湖區民權東路6段45號,25.06916714,121.5862678,國中
236,236,木柵國中,臺北市文山區木柵路3段102巷12號,24.98747427,121.56768590000001,國中
237,237,東湖國中,臺北市內湖區康樂街131號,25.07226818,121.619504,國中
238,238,明湖國中,臺北市康寧路3段60號,25.07064379,121.61069409999999,國中
262,262,景美國中,臺北市文山區景中街27號,24.99301329,121.54294309999999,國中
268,268,南門國中,臺北市廣州街6號,25.03522995,121.5090936,國中
282,282,懷生國中,臺北市大安區忠孝東路3段248巷30號,25.04036495,121.54120900000001,國中
297,297,螢橋國中,臺北市中正區汀州路3段4號,25.0190622,121.526473,國中
298,298,古亭國中,臺北市中正區中華路2段465號,25.02466339,121.51062320000001,國中
299,299,北安國中,臺北市中山區明水路325號,25.07778791,121.54162439999999,國中
300,300,興福國中,臺北市文山區福興路80號,25.0048993,121.5497435,國中
301,301,蘭雅國中,臺北市士林區忠誠路2段51號,25.11058215,121.5310581,國中
302,302,北投國中,臺北市北投區溫泉路62號,25.13447188,121.5042326,國中
303,303,麗山國中,臺北市內湖區內湖路1段629巷42號,25.0817422,121.5751824,國中
328,328,萬華國中,臺北市萬華區西藏路201號,25.02915925,121.49870209999999,國中
338,338,信義國中,臺北市信義區松仁路158巷1號,25.02860968,121.5679321,國中
339,339,實踐國中,臺北市文山區辛亥路7段67號,24.98343611,121.55473799999999,國中
340,340,天母國中,臺北市士林區天母東路120號,25.11797401,121.5381617,國中
351,351,五常國中,臺北市中山區復興北路430巷1號,25.06348987,121.54309199999999,國中
352,352,西湖國中,臺北市內湖區環山路1段27號,25.0858365,121.56567390000001,國中
369,369,塯公國中,臺北市信義區福德街221巷15號1樓,25.03706761,121.5853271,國中
370,370,金華國中,臺北市大安區新生南路2段32號,25.03120115,121.53312340000002,國中
371,371,弘道國中,臺北市中正區公園路21號,25.03754447,121.51529450000001,國中
372,372,石牌國中,臺北市北投區石牌路1段139號,25.11491629,121.51420890000001,國中
373,373,關渡國中,臺北市北投區知行路212號,25.11989405,121.46735759999999,國中
374,374,內湖國中,臺北市內湖區陽光街1號,25.07699423,121.58872269999999,國中
375,375,成德國中,臺北市南港區東新街108巷23號,25.04506176,121.58780159999998,國中
406,406,誠正國中,臺北市南港區富康街1巷24號,25.0541121,121.6187449,國中
413,413,永吉國中,臺北市信義區松隆路161號,25.04833575,121.57414059999999,國中
414,414,民族國中,臺北市大安區羅斯福路4段113巷13號,25.01118392,121.53883190000002,國中
415,415,中正國中,臺北市中正區愛國東路158號,25.03233283,121.52208049999999,國中
416,416,建成國中,臺北市大同區長安西路37－1號,25.05036718,121.5196973,國中
418,418,新興國中,臺北市中山區林森北路511號,25.06206361,121.52578840000001,國中
432,432,景興國中,臺北市文山區景興路46巷2號,24.99619011,121.5443459,國中
453,453,芳和國中,臺北市大安區臥龍街170號,25.01870295,121.55030579999999,國中
454,454,重慶國中,臺北市大同區敦煌路19號,25.07593048,121.5179057,國中
464,464,民權國中,臺北市大同區重慶北路3段1號,25.06356373,121.5139143,國中
468,468,忠孝國中,臺北市大同區西寧北路32號,25.05123344,121.50826699999999,國中
473,473,民生國中,臺北市松山區新東街30巷1號,25.05982757,121.567329,國中
475,475,雙園國中,臺北市萬華區興義街2號,25.02762797,121.492722,國中
