代碼,分店名稱,分店地址,X座標,Y座標,lat,lnt
1,信義六合,臺北市信義區松仁路240巷19號,307403.28,2768606.36,25.02445123,121.5687937
2,中正南昌,臺北市中正區南昌路１段51巷1號,302213.22,2769359.58,25.03143916,121.5173971
3,士林士東店,臺北市士林區士東路23號,303146.96,2778279.21,25.1119323,121.526994
4,中山朱崙,臺北市中山區龍江路15號,304542.62,2771138.52,25.04741716,121.5405494
5,內湖星雲,臺北市內湖區星雲街163號,310165.89,2774910.89,25.08126018,121.5964419
6,松花,臺北市中山區合江街137號,304413.45,2772715.17,25.06165567,121.5393316
7,中山南京,臺北市中山區吉林路26巷34號,303357.37,2771573.11,25.05138289,121.5288201
8,文山順興,臺北市文山區興隆路四段143號,306698.71,2764252.24,24.98516904,121.5616339
9,北市延平,臺北市士林區延平北路五段238號,301445,2775224.6,25.08441459,121.5100039
10,士林大南,臺北市士林區大南路315號,302275.84,2775711.48,25.08878156,121.5182587
11,北市和平,臺北市大安區和平東路一段63號,302935.81,2768882.51,25.02710709,121.5245389
12,文山萬年,臺北市文山區羅斯福路５段170巷41號,304127.96,2766403.33,25.00468298,121.5362542
13,北市建國,臺北市大安區建國南路二段123巷16號,304410.31,2769149.54,25.02946554,121.5391597
14,萬華雙園,臺北市萬華區興寧街2號,300660.45,2769447.28,25.03228368,121.5020139
15,信義松興,臺北市信義區松隆路36號,307268.31,2770703.99,25.04339353,121.5675435
16,南港凌雲,臺北市南港區研究院路三段68巷9號,311991.58,2769825.13,25.03527317,121.6143108
17,文山永建,臺北市文山區木柵路一段177號,305623.17,2764535.59,24.98776694,121.5509918
18,大安延吉,臺北市大安區市民大道四段190號,305928.84,2770789.12,25.04421219,121.554273
19,文山忠順,臺北市文山區忠順街二段22號,306853.42,2764197.5,24.98466906,121.563164
20,內湖,臺北市內湖區港墘路127巷10號,308197.75,2774527.07,25.07787225,121.5769157
21,中華,臺北市萬華區中華路二段666號之12,301613.01,2768553.4,25.02418156,121.5114194
22,和德,臺北市萬華區西園路二段215號,299873.09,2768869.98,25.02709796,121.494191
23,關渡,臺北市北投區中央北路四段532號,297181.27,2780079.41,25.12838282,121.467903
24,唭哩岸,臺北市北投區東華街二段180號,301537.78,2779187.5,25.12018808,121.5110723
25,大安,臺北市大安區復興南路二段237號,304871.11,2768750.52,25.02584658,121.5437098
26,西門町,臺北市萬華區長沙街二段110號,300858.02,2770337.54,25.04031431,121.5040045
27,台北東門,臺北市大安區金山南路二段12號,303180.82,2769587.34,25.03346168,121.5269938
28,圓環,臺北市大同區南京西路165號,301749.78,2771865.45,25.05407799,121.5128989
29,北投,臺北市北投區北投路二段11號,300288.2,2780344.13,25.13067221,121.4987237
30,中崙,臺北市松山區八德路三段106巷1號,305872.54,2771171.17,25.04766338,121.5537306
31,松山鵬程,臺北市松山區健康路399號,307395.87,2771946.11,25.0546024,121.5688594
32,龍山,臺北市萬華區廣州街263號,300104.04,2769955.82,25.0368933,121.4965189
33,信義三興,臺北市信義區吳興街156巷6號,306632.41,2769108.5,25.02901354,121.5611763
34,士林社子,臺北市士林區社正路59號,301452.06,2775732.28,25.08899764,121.5100929
35,信義林口,臺北市信義區林口街176號,308611.51,2770403.98,25.04063364,121.5808417
36,大安敦南,臺北市大安區忠孝東路四段126號,305263.22,2770440.17,25.04108636,121.5476627
37,中山興安,臺北市中山區興安街55號,304673.7,2772112.68,25.05620706,121.5418871
38,民生社區,臺北市松山區民生東路四段133號,305938.74,2772371.23,25.05849495,121.5544354
39,中山雙連,臺北市中山區錦西街8號,302636.2,2772551.13,25.06023767,121.5217103
40,文山木柵,臺北市文山區木柵路三段41號,307121.33,2764631.31,24.98857541,121.5658357
41,吉林,臺北市中山區吉林路213號,303513.52,2772578.68,25.06045558,121.5304067
42,文山興隆,臺北市文山區興隆路一段53號,304600.54,2766336.27,25.00406061,121.5409333
43,木新,臺北市文山區恆光街37號,307246.73,2763979.43,24.98268554,121.5670508
44,中正華山,臺北市中正區忠孝東路一段86號,302920.54,2770790.56,25.04433342,121.5244608
45,南港中坡,臺北市南港區中坡南路7號,308768.16,2770769.27,25.04392535,121.5824096
46,內湖金龍,臺北市內湖區金龍路215號,309229.37,2775670.06,25.08815084,121.587191
47,台北西藏,臺北市萬華區西藏路125巷9號,300696.9,2769045.38,25.02865411,121.5023603
48,大直北安,臺北市中山區北安路588巷8號,305404.02,2774858.44,25.08096887,121.5492358
49,民生西店,臺北市大同區民生西路280號,301759.67,2772177.86,25.05689807,121.5130087
50,萬華民和,臺北市萬華區民和街103號,300206.6,2768675.95,25.02533523,121.4974886
51,復興崗,臺北市北投區中央北路二段181號,299678.94,2781133.4,25.13781785,121.4927102
52,內湖民權,臺北市內湖區民權東路六段90巷18號,309104.75,2773425.18,25.06788937,121.5858592
53,民族西,臺北市大同區民族西路235號,301660.71,2773495.77,25.06879947,121.5120774
54,北市興安二,臺北市松山區民生東路三段130巷9號,305124.59,2772137.83,25.05641774,121.5463569
55,信義嘉興,臺北市信義區基隆路二段22號,306384.01,2769431.22,25.0319363,121.5587282
56,大安永康,臺北市大安區永康街7巷6號,303544.92,2769542.12,25.0330406,121.5306
57,士林忠誠,臺北市士林區忠誠路一段177號,303499.03,2777842.02,25.10797296,121.5304679
58,大安芳和,臺北市大安區樂業街87號,305635.65,2768289.09,25.02165292,121.5512666
59,北投中和,臺北市北投區中和街49號,300638.89,2781207.78,25.13845738,121.5022333
60,萬華萬大,臺北市萬華區萬大路406號,300305.36,2768249.75,25.02148422,121.4984516
61,內湖成功,臺北市內湖區大湖山莊街148號,310675.99,2775453.41,25.08613753,121.6015224
62,中山林森,臺北市中山區林森北路561號,303044.62,2773029.06,25.06453811,121.5257767
63,北投明德,臺北市北投區懷德街3號,302436.01,2778092.54,25.11027195,121.5199375
64,文山景興,臺北市文山區景興路191號,304937.57,2765033.4,24.99228615,121.5442204
65,信義黎忠,臺北市信義區和平東路三段391巷16號,306329.8,2768136.26,25.02024752,121.5581381
66,北投致遠,臺北市北投區致遠二路113巷13號,301567.3,2778823.85,25.11690408,121.5113514
67,文山保儀,臺北市文山區保儀路12號,307390.14,2764628.07,24.98853601,121.5684982
68,內湖康樂,臺北市內湖區康樂街116號,312452.36,2773792.55,25.07107126,121.6190566
69,大直實踐,臺北市中山區北安路655號,305397.85,2775243.84,25.08444844,121.5491902
70,松山吉祥,臺北市松山區光復北路11巷99號,306746.36,2771482.67,25.05044303,121.5624031
71,南港中研,臺北市南港區研究院路２二段61巷15號,312283.26,2770863.27,25.04463332,121.617248
72,中正延平,臺北市中正區延平南路189號,301212.62,2769615.52,25.03378397,121.5074916
73,內湖明湖,臺北市內湖區民權東路六段296巷113號,311434.5,2773659.34,25.06991039,121.6089616
74,中山中安,臺北市中山區中山北路二段59巷45號,302923.05,2772079.47,25.05596954,121.5245352
75,大安正聲,臺北市大安區延吉街159-8號,306027.72,2770217.16,25.03904493,121.5552296
76,南港中信,臺北市南港區經貿二路188號,312048.29,2772490.71,25.05933518,121.6149928
77,大安成功,臺北市大安區和平東路三段1巷51號,305193.63,2768835.48,25.02660187,121.5469089
78,中正南海,臺北市中正區南海路100號,301292.35,2768993.31,25.02816396,121.5082586
79,內湖德安,臺北市內湖區成功路四段30巷28弄29號,309699.84,2775083.97,25.08284121,121.5918296
80,中山松江,臺北市中山區松江路318號,303763.73,2772603.59,25.06067159,121.5328876
81,大安居安,臺北市大安區安和路二段88號,305553.41,2769102.35,25.028998,121.5504845
82,中山德惠,臺北市中山區吉林路413號,303522.99,2773239.38,25.06641999,121.5305263
83,內湖南湖,臺北市內湖區東湖路33巷19號,311869.74,2773645.55,25.06976814,121.613275
84,內湖葫洲,臺北市內湖區民權東路六段296巷20號,311147.25,2773917.44,25.07225212,121.6061259
85,大安樂利,臺北市大安區樂利路89號,305729.14,2768736.84,25.02569174,121.552211
86,松山三民,臺北市松山區三民路108號,306894.46,2772318.29,25.05798134,121.5639054
87,天母天玉,臺北市士林區天母西路3號,303373.59,2779060.82,25.11898056,121.5292715
88,北投吉利,臺北市北投區吉利街125號,301101.59,2779014.26,25.11863894,121.5067405
89,北投行義,臺北市北投區行義路10巷2號,303086.85,2779647.1,25.12428353,121.5264509
