代碼,pm_name,lat,lnt,pm_location,pm_area,pm_type
0,七虎公園,25.13649941,121.5020599,育仁路108號（薇閣小學旁）,10098,公園
1,七星公園,25.13661957,121.5030212,光明路、中山路交叉口（新北投捷運站）,12056,公園
2,大豐公園,25.13194084,121.5037308,公館路13號旁,12391,公園
3,中央公園,25.12809944,121.4999237,大興街與中央南路二段6巷口,4463,公園
4,中庸公園,25.13804054,121.5012436,位於北投區中庸里雙全街50號對面,5049,公園
5,丹鳳公園,25.1264801,121.5109787,公館路255巷19弄旁,8185,公園
6,公館公園,25.12799072,121.5064316,奇岩新社區(公三),8960,公園
7,天狗庵遺址,25.13592911,121.5066681,溫泉路73巷(天狗庵舊址),769,公園
8,文化3號公園,25.13769913,121.4947128,中央北路二段68巷進入(42巷11弄旁),563,公園
9,文化公園(一),25.1365,121.4965,位於北投區文化里中央北路二段文化國小對面,2855,公園
10,文化公園(二),25.13643074,121.4968414,位於北投區文化里中央北路一段228巷,1164,公園
11,北投204號環保公園(八仙公園),25.12041,121.50308,承德路七段與公館路交會,2842,公園
12,北投258號承德4號綠地,25.1019,121.51245,承德路六段與福國路交叉口，北投士林科技園區(綠4，區段徵收),1780,公園
13,北投公園,25.13656044,121.5047302,北投區中山路、光明路所圍範圍,67344,公園
14,北投社三層崎公園,25.14574,124.491156,北投區秀山路50號旁,29835,公園
15,石牌公園,25.11635971,121.5103607,石牌路一段39巷內,23582,公園
16,立農公園,25.11878967,121.5035095,承德路七段378號,17822,公園
17,吉利公園,25.11901093,121.5083695,位於北投區立農里吉利街179號旁,5270,公園
18,同德公園,25.12507057,121.5294495,位於北投區永欣里同德街27巷19號對面,6750,公園
19,地熱谷公園,25.13755989,121.5109787,臺北市北投區中山路30-1號(中山路與溫泉路交口),12950,公園
20,行義公園,25.1253891,121.5252304,石牌路二段343巷8號,36313,公園
21,奇岩一號公園,25.12708092,121.5037537,臺北市北投區磺港路208號(奇岩新社區公一),18729,公園
22,奇岩二號公園,25.12649918,121.5036926,臺北市北投區216號(奇岩新社區公二),12442,公園
23,奇岩三號公園,25.12598038,121.5052185,奇岩新社區(公四),6154,公園
24,東華公園,25.12183952,121.5070725,東華街二段300巷19號對面,75820,公園
25,林泉公園,25.14133,121.51482,溫泉路168號旁,2027,公園
26,知行公園,25.11973,121.4666519,位於北投區關渡里知行路225巷,2759,公園
27,長安公園,25.13555908,121.5001602,育仁路109號對面(薇閣國小旁),14042,公園
28,長安公園,25.13614082,121.5018387,位於北投區長安里育仁路109號對面,4288,公園
29,前山公園,25.15057652,121.5484437,臺北市北投區建國街4號旁及紗帽路117號對面,38328,公園
30,建民公園,25.10564041,121.5203629,文林北路16巷7號對面,3230,公園
31,泉源47號公園,25.14209938,121.5124588,泉源路80號對面山腳下,11473,公園
32,泉源48號公園,25.14193916,121.5071564,北投珠海路120號附近,15553,公園
33,洲美蜆仔港公園,25.10099711,121.5111864,台北市士林區承德路六段329號,30818,公園
34,致遠公園,25.11127091,121.5150528,位於北投區榮光里致遠一路二段自強市場旁,2503,公園
35,重三公園,25.14015961,121.4892883,新興路與重三路交叉口(重三新村八期重劃)政校後勤區,4401,公園
36,振華公園,25.11516953,121.5188522,位於北投區振華里振華街24號對面,9073,公園
37,振興公園,25.11821938,121.5230408,天母西路與磺溪交叉口,10950,公園
38,桂花公園,25.13791084,121.5102234,中山路5-7號(林泉里辦公處旁),1396,公園
39,桃源公園,25.13806915,121.4827576,中央北路三段148巷,16114,公園
40,健行公園,25.1212101,121.5088272,位於北投區東華里致遠三路147巷二弄內,2367,公園
41,崇仰公園,25.12609,121.51106,崇仰一路、公館路225巷底,21686,公園
42,清江一公園,25.1239109,121.5024796,位於北投區清江里崇仁路一段154號對面,3292,公園
43,清江二公園,25.12368012,121.5018921,位於北投區清江里崇仁路1段154號旁,1161,公園
44,軟橋公園,25.103102,121.517613,台北市北投區文林北路53巷51號,4510,公園
45,復興公園,25.1396904,121.5032272,北投中和街200號,26356,公園
46,開明公園,25.14113045,121.5053177,珠海路112號附近,5574,公園
