代碼,寺廟名稱,寺廟地址,X座標,Y座標,lat,lnt
1,中崙福順宮,臺北市松山區南京東路3段303巷8弄臨10號,305238.017,2771741.486,25.05283545,121.5474651
2,台北佛教蓮社,臺北市松山區南京東路5段59巷29弄4號,306457.617,2771759.131,25.0529497,121.5595529
3,台北府城隍廟,臺北市松山區虎林街3號,308138.201,2771385.358,25.04951165,121.5761928
4,松山水福宮,臺北市松山區松河街3號,307706.126,2771527.254,25.05080922,121.5719167
5,松山慈福宮,臺北市松山區八德路4段829巷26號,308498.424,2771651.904,25.0519041,121.579774
6,松山福德宮,臺北市松山區饒河街92號,307928.719,2771477.756,25.05035384,121.5741206
7,松山聚福廟,臺北市松山區八德路4段498之1號1樓,307562.33,2771381.745,25.04950106,121.5704855
8,松山霞海城隍廟,臺北市松山區八德路4段439號,307536.213,2771422.748,25.04987222,121.5702284
9,法光寺,臺北市松山區光復北路60巷20號,306211.142,2771411.071,25.04981663,121.557096
10,財團法人台北市中崙福成宮,臺北市松山區市民大道4段71號,305195.196,2770907.467,25.04530756,121.5470074
11,財團法人台北市放生念佛會,臺北市松山區延吉街33號,305850.373,2770995.189,25.04607546,121.5535037
12,財團法人台北市松山慈祐宮,臺北市松山區八德路4段761號,308291.278,2771557.324,25.05105824,121.5777171
13,福德宮,臺北市松山區八德路4段181巷16弄11號,306802.435,2771350.256,25.04924551,121.5629534
14,劍童廟,臺北市松山區八德路3段199巷1號,306140.102,2771260.685,25.0484616,121.5563858
15,財團法人台北市松山寺,臺北市信義區吳興街284巷17之1號,306929.103,2768536.805,25.0238412,121.5640926
16,三張犁福佑宮,臺北市信義區信義路5段150巷18之1號,307422.175,2768995.038,25.02795946,121.5689971
17,中坡福壽宮,臺北市信義區福德街221巷14號,309055.387,2769908.211,25.03614064,121.5852191
18,天寶聖道宮,臺北市信義區松山路664之10號,309055.387,2769908.211,25.03614064,121.5852191
19,代天殿靈雲宮,臺北市信義區信義路5段150巷22弄43號,307635.788,2768954.703,25.0275872,121.5711121
20,台北市松山五分埔福德宮,臺北市信義區虎林街47之3號,308191.028,2771179.532,25.04765145,121.5767076
21,石泉巖,臺北市信義區和平東路三段631巷50號,307423.139,2767234.264,25.01206331,121.5689334
